"NAME","COLLAPSED_COUNT"
"Mary",3761961
"Annie",286179
"Anna",761184
"Margaret",1142611
"Helen",902777
"Elsie",140732
"Lucy",193420
"Dorothy",1057634
"Ruth",742015
"Elizabeth",1575833
"Agnes",115982
"Louise",284529
"Jean",464708
"Alice",502716
"Esther",225598
"Ethel",195283
"Marie",466171
"Clara",224027
"Martha",493982
"Frances",537253
"Julia",431719
"Lillian",397314
"Mildred",395194
"Pauline",200433
"Katherine",618846
"Emma",669737
"Hazel",239951
"Minnie",89330
"Daisy",128622
"Edna",226517
"Evelyn",593958
"Florence",248846
"Sally",195646
"Olga",49836
"Edith",216962
"Maggie",93702
"Rose",434016
"Sophie",119361
"Gertrude",119862
"Virginia",626847
"Sarah",1043905
"Stella",167986
"Vera",124799
"Betty",986896
"Irene",310157
"Barbara",1427205
"Gladys",217827
"Ann",451442
"Josephine",281924
"Kathryn",436444
"Katie",223047
"Lorraine",203960
"Patricia",1572165
"Bessie",102986
"Joan",480624
"Thelma",201922
"Jessie",232023
"Nellie",99608
"Ida",124888
"Marjorie",259245
"Norma",268973
"Beatrice",164524
"Elena",93596
"Grace",457175
"Laura",755118
"Marian",130113
"June",196593
"Lena",106252
"Shirley",687157
"Mabel",78674
"Eva",233510
"Nancy",987013
"Bertha",137043
"Doris",449907
"Dolly",13888
"Carrie",223174
"Jane",363848
"Christine",576664
"Eleanor",302284
"Cecelia",48891
"Lois",318396
"Janet",551388
"Maria",551793
"Arlene",138060
"Charlotte",411573
"Flora",49700
"Wilma",131671
"Carol",817899
"Jacqueline",423371
"Nora",155355
"Theresa",388548
"Amelia",242027
"Dolores",206769
"Geraldine",204579
"Lydia",163839
"Donna",827455
"Sylvia",230889
"Beverly",376266
"Bernice",165378
"Joyce",505506
"Rosemary",156362
"Sandra",873440
"Karen",986211
"Phyllis",317220
"Emily",868597
"Marilyn",369863
"Natalia",77637
"Judith",449660
"Sharon",720630
"Carolyn",550313
"Susan",1111112
"Judy",378736
"Diane",515450
"Gloria",411554
"Janice",402842
"Joanne",208318
"Rita",277582
"Audrey",295087
"Ella",290724
"Linda",1451244
"Catherine",619861
"Bonnie",321914
"Molly",168562
"Roberta",164756
"Kathleen",705852
"Caroline",230479
"Kathy",331073
"Loretta",163519
"Myra",54741
"Darlene",200997
"Mattie",92360
"Ellen",251481
"Francine",31503
"Pamela",592210
"Cheryl",436931
"Elaine",256989
"Gail",203883
"Peggy",288569
"Suzanne",215513
"Anne",308544
"Cynthia",707141
"Carla",146534
"Deborah",738673
"Diana",363171
"Jeanne",158405
"Jo",175558
"Lynda",74396
"Margie",99353
"Teresa",408276
"Vivian",212357
"Christina",473473
"Julie",507238
"Colleen",159247
"Paula",275524
"Delores",114246
"Vicki",150779
"Brenda",606225
"Charlene",129814
"Robin",329830
"Lucille",205330
"Lynne",58732
"Rebecca",742416
"Terry",514561
"Toni",96685
"Maureen",139861
"Sherry",227088
"Eileen",182695
"Lynn",225833
"Constance",133220
"Jennifer",1472272
"Laurie",162952
"Marcia",128662
"Rachel",561025
"Regina",174762
"Sheila",235363
"Debra",548059
"Karla",87889
"Denise",370467
"Valerie",265999
"Marlene",126423
"Victoria",510858
"Andrea",443747
"Becky",83406
"Belinda",68994
"Claudia",121696
"Maryann",56922
"Connie",265996
"Stephanie",742852
"April",239586
"Cathy",167446
"Leslie",370080
"Marsha",101221
"Patti",41948
"Yvonne",151119
"Penny",96116
"Vickie",107378
"Angela",667237
"Dianne",92349
"Ingrid",22439
"Janis",44979
"Juanita",198637
"Kristine",81142
"Marianne",59969
"Michele",221814
"Michelle",815183
"Rhonda",205668
"Sheryl",76271
"Terri",143457
"Jill",205385
"Anita",207998
"Wendy",259752
"Kimberly",844966
"Amy",689692
"Joann",153153
"Lori",339349
"Candace",81913
"Debbie",184911
"Jan",69354
"Wanda",276216
"Billie",124971
"Cecilia",98249
"Charmaine",11609
"Cheri",33388
"Christy",95781
"Cindy",254483
"Dawn",285845
"Patrice",31074
"Tracy",304587
"Vicky",50138
"Jennie",90870
"Lisa",965560
"Jeanette",155391
"Glenda",105394
"Joy",136100
"Roxanne",55326
"Lee",272810
"Carmen",149824
"Joni",25253
"Kim",208923
"Martina",12227
"Ramona",65166
"Annette",162921
"Beth",154981
"Jenny",87002
"Melinda",132124
"Renee",182496
"Sherri",81491
"Holly",201789
"Tina",287076
"Gayle",60282
"Melody",106780
"Monica",247117
"Melissa",755872
"Kay",94942
"Lorna",22881
"Cora",111753
"Jacquelyn",80980
"Marla",34960
"Nina",119241
"Sara",422026
"Shannon",341195
"Shelley",69994
"Sue",137593
"Susie",62631
"Gwendolyn",117971
"Verna",57143
"Debora",27272
"Kerry",92013
"Maxine",108777
"Sheri",58166
"Cathleen",25273
"Kelly",549340
"Rosalie",72998
"Sheree",10828
"Tammy",329854
"Dianna",52332
"Marcella",57600
"Georgia",141951
"Laurel",41482
"Sherrie",32366
"Alberta",58120
"Gina",149757
"Jackie",161717
"Jody",80991
"Leona",90584
"Priscilla",116131
"Robyn",60084
"Tanya",113794
"Teri",41304
"Violet",155427
"Veronica",215640
"Melanie",256467
"Darla",39243
"Pam",31339
"Rhoda",17033
"Shawn",334781
"Heather",523546
"Dora",77379
"Lou",27507
"Tamara",128546
"Tami",35881
"Heidi",145655
"Natalie",369215
"Shelly",81964
"Candy",25130
"Chris",161181
"Crystal",328085
"Dana",238378
"Kelli",72892
"Kristen",216955
"Patty",59365
"Bernadette",48734
"Deanna",131966
"Harriet",73961
"Matilda",22166
"Fannie",54466
"Jeannie",31750
"Johanna",44797
"Kirsten",50162
"Mona",39594
"Myrna",27793
"Ruby",338160
"Sandy",71546
"Jana",42352
"Vanessa",258659
"Jamie",351950
"Jeannine",20640
"Ronda",31773
"Hannah",445978
"Kristin",177300
"Lorena",35579
"Polly",22854
"Tammie",33560
"Tracey",90018
"Stacey",155869
"Della",47949
"Stacy",179145
"Trudy",21781
"Doreen",42517
"Jessica",1049053
"Jodi",77162
"Kelley",45746
"Lorrie",14930
"Kristi",74216
"Kristina",134246
"Sabrina",139191
"Kara",99162
"Lorri",6338
"Venus",5687
"Karin",24574
"Allison",312528
"Shari",37901
"Deanne",11429
"Lora",43352
"Tonya",117863
"Kari",56652
"Erin",319945
"Sonya",61128
"Angelina",117806
"Joelle",12136
"Kimberley",35163
"Leann",20561
"Nicole",591916
"Tiffany",337228
"Amanda",777639
"Leah",241640
"Rene",63105
"Danielle",369481
"Samantha",586794
"Ginger",41829
"Tara",173197
"Cassandra",167706
"Lara",25780
"Shawna",43025
"Amber",370700
"Darcy",19099
"Kendra",95574
"Kristie",35770
"Traci",50111
"Alicia",226299
"Erika",123040
"Adrienne",63268
"Stacie",36488
"Trina",29045
"Alisa",31460
"Bridget",87117
"Joanna",105092
"Leigh",38336
"Sonja",35150
"Tonia",19072
"Yolanda",108814
"Bobbi",20104
"Dena",26553
"Katrina",98269
"Bobbie",98975
"Cara",48740
"Kellie",48428
"Krista",71204
"Meredith",73258
"Rachael",77364
"Tracie",30128
"Desiree",80494
"Gretchen",47947
"Kerri",34402
"Kristy",67992
"Misty",82239
"Terra",11833
"Tricia",37225
"Erica",229428
"Alison",113072
"Natasha",94972
"Aimee",50328
"Jolene",30855
"Shanna",25490
"Brandy",104898
"Brandi",99984
"Rena",28455
"Alexandra",240196
"Autumn",138456
"Gwen",26394
"Jodie",24400
"Shana",26952
"Charity",29946
"Jenifer",22150
"Megan",437965
"Christie",42351
"Lynette",38977
"Shauna",25043
"Angie",58396
"Olivia",532937
"Courtney",274088
"Mandy",36992
"Naomi",173190
"Rebekah",71803
"Trisha",37138
"Jaime",114367
"Lindsay",129319
"Ashley",865893
"Tania",25060
"Alyssa",311879
"Felicia",86934
"Tasha",33272
"Whitney",97575
"Summer",85728
"Candice",65048
"Farrah",9222
"Tabitha",56228
"Bethany",97829
"Helena",29968
"Keri",29283
"Serena",40266
"Amie",17013
"Angel",350101
"Elisabeth",40599
"Marisa",45756
"Rachelle",30069
"Sasha",35817
"Brooke",195125
"Meghan",94546
"Lindsey",158626
"Jaclyn",46282
"Mariah",110624
"Aubrey",152429
"Alexis",405297
"Casey",186576
"Jasmine",254762
"Jayme",11293
